id,category,category_rank,keyword,search_type,monthly_lower,monthly_upper,blog_documents,recent_posts,recent_posts_note,opportunity,persistence,home_fit,priority,overall_rank,search_source,live_pc_monthly,live_mobile_monthly,live_competition,live_depth,live_checked_at
K0099,경제·비즈니스,99,아파트탑층장단점,세부 검색어,320,320,538,9,수집결과 내 집계,63.18784801291936,95.50340849070628,75.0,75.24494655367157,409,네이버 검색광고 API,60,260,중간,1,2026-09-12T08:34:49+09:00
K0100,경제·비즈니스,100,퇴직연금DC형DB형차이,세부 검색어,290,290,0,0,수집결과 내 집계,68.16926939097476,,87.5,,,네이버 검색광고 API,160,130,중간,1,2026-09-12T08:34:49+09:00
K0101,마음·심리,1,공황장애증상,세부 검색어,46150,46150,42196,751,수집결과 내 집계,95.15209627601017,89.61198002376906,75.0,89.4596421451358,24,네이버 검색광고 API,3950,42200,높음,10,2026-09-12T08:34:49+09:00
K0102,마음·심리,2,공황장애,확장 주제어,32620,32620,128849,985,이상(하한),74.63949557154018,84.47468949175715,50.0,72.66215463329723,491,네이버 검색광고 API,6020,26600,높음,10,2026-09-12T08:34:49+09:00
K0103,마음·심리,3,우울증테스트,세부 검색어,28850,28850,9779,90,수집결과 내 집계,92.81923207049135,85.6796439036302,50.0,82.11350920633473,175,네이버 검색광고 API,2150,26700,높음,10,2026-09-12T08:34:49+09:00
K0104,마음·심리,4,심리테스트,세부 검색어,21450,21450,81180,475,수집결과 내 집계,74.43773908328484,86.22276878758005,50.0,73.08570017791644,476,네이버 검색광고 API,4750,16700,높음,10,2026-09-12T08:34:49+09:00
K0105,마음·심리,5,애착유형테스트,세부 검색어,34210,34210,1803,213,수집결과 내 집계,91.04328759884577,97.26513052972966,50.0,84.70118295834178,104,네이버 검색광고 API,1510,32700,중간,1,2026-09-12T08:34:49+09:00
K0106,마음·심리,6,성인ADHD증상,세부 검색어,21580,21580,10683,191,수집결과 내 집계,90.95016748264274,88.06420974554594,75.0,86.89434666498515,54,네이버 검색광고 API,2880,18700,높음,10,2026-09-12T08:34:49+09:00
K0107,마음·심리,7,우울증초기증상,세부 검색어,15890,15890,8774,162,수집결과 내 집계,89.22628601005455,87.20711266181353,75.0,85.77527680357133,78,네이버 검색광고 API,1090,14800,높음,10,2026-09-12T08:34:49+09:00
K0108,마음·심리,8,심리상담,세부 검색어,11400,11400,577352,933,이상(하한),41.78205848151459,87.53153185558183,50.0,57.15048879743185,837,네이버 검색광고 API,1730,9670,높음,10,2026-09-12T08:34:49+09:00
K0109,마음·심리,9,번아웃증상,세부 검색어,11730,11730,9033,259,수집결과 내 집계,87.2513585447079,91.58412427192621,75.0,86.10091655393181,72,네이버 검색광고 API,1330,10400,높음,3,2026-09-12T08:34:49+09:00
K0110,마음·심리,10,불안장애증상,세부 검색어,9500,9500,25444,375,수집결과 내 집계,73.81316934572538,89.58850801733217,75.0,78.78313707806234,293,네이버 검색광고 API,790,8710,높음,10,2026-09-12T08:34:49+09:00
K0111,마음·심리,11,불안장애,확장 주제어,7780,7780,90913,990,이상(하한),54.85223531671815,86.23533397610046,50.0,63.296717851189214,712,네이버 검색광고 API,1140,6640,높음,10,2026-09-12T08:34:49+09:00
K0112,마음·심리,12,성인애착유형검사,도구·신청 혼합형,7020,7020,735,20,수집결과 내 집계,85.19451082685839,97.3638474361395,50.0,81.80640964427104,184,네이버 검색광고 API,660,6360,높음,7,2026-09-12T08:34:49+09:00
